Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2011.0,-0.311,-0.33,-0.167,-0.137,-0.176,-0.066,-0.065,-0.104,-0.099,-0.022,-0.332,0.024,-0.149,-0.179,-0.325,-0.16,-0.078,-0.151
2012.0,-0.278,-0.303,-0.363,0.089,0.132,0.117,0.069,-0.05,0.029,-0.019,-0.014,-0.398,-0.082,-0.047,-0.186,-0.048,0.045,-0.001
2013.0,-0.079,-0.106,-0.245,-0.3,-0.066,-0.053,-0.09,-0.082,-0.13,-0.097,0.137,-0.002,-0.093,-0.126,-0.194,-0.204,-0.075,-0.03
2014.0,0.053,-0.172,0.144,0.127,0.065,-0.008,-0.017,0.098,0.003,0.004,-0.183,0.259,0.031,0.009,-0.04,0.112,0.024,-0.059
2015.0,0.278,0.301,0.263,0.043,0.205,0.226,0.14,0.196,0.341,0.362,0.392,0.706,0.288,0.25,0.279,0.17,0.187,0.365
2016.0,0.634,1.056,0.839,0.496,0.276,0.294,0.266,0.312,0.393,0.109,0.132,0.201,0.417,0.459,0.799,0.537,0.291,0.212
2017.0,0.466,0.639,0.465,0.223,0.094,0.103,0.186,0.206,0.177,0.125,0.235,0.546,0.289,0.26,0.435,0.261,0.165,0.179
2018.0,0.227,0.354,0.117,-0.006,0.167,0.036,0.126,0.058,0.133,0.309,-0.022,0.25,0.146,0.17,0.375,0.093,0.073,0.14
2019.0,0.284,0.23,0.499,0.267,0.156,0.365,0.253,0.282,0.378,0.376,0.205,0.547,0.32,0.295,0.255,0.307,0.3,0.32
2020.0,0.663,0.82,0.607,0.428,0.438,0.307,0.318,0.309,0.368,0.285,0.619,0.362,0.46,0.476,0.677,0.491,0.311,0.424
2021.0,0.344,0.073,0.149,0.161,0.207,0.383,0.293,0.211,0.225,0.382,0.311,0.306,0.254,0.258,0.26,0.172,0.296,0.306
2022.0,0.32,0.283,0.366,0.124,0.184,0.302,0.277,0.359,0.324,0.39,0.107,0.232,0.272,0.279,0.303,0.225,0.313,0.274
2023.0,0.385,0.438,0.581,0.044,0.281,0.358,0.656,0.757,0.828,0.964,1.005,1.014,0.609,0.544,0.352,0.302,0.59,0.932
2024.0,0.712,1.049,0.731,0.841,0.586,0.358,0.656,0.757,0.828,0.964,1.005,1.014,0.609,0.544,0.925,0.719,0.59,0.932
